step,agent_id,attention,destination,emissions_total_g,location,modal_share,mode,performance,stress,t,working_memory
11,agent_7,0.4422,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,walk,0.318,0.2574,11,0.3948
11,agent_8,0.4309,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.309,0.2652,11,0.3942
11,agent_9,0.443,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3829,0.235,11,0.5144
11,agent_10,0.4508,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,walk,0.3755,0.2303,11,0.4857
11,agent_11,0.4548,"(3.333288155365905, 4.450492852684512)",,"(3.333288155365905, 4.450492852684512)",,bike,0.3269,0.2649,11,0.4093
11,agent_12,0.4542,"(1.8726081591124166, 0.1592065337055093)",,"(1.8726081591124166, 0.1592065337055093)",,bike,0.3562,0.2359,11,0.4453
11,,,,0.0,,"{'walk': 4, 'bike': 8}",,,,,
12,agent_1,0.4348,"(2.0362088183519917, 0.5385011746921953)",,"(2.0362088183519917, 0.5385011746921953)",,walk,0.3099,0.2732,12,0.4002
12,agent_2,0.4307,"(2.6810102001696343, 1.660988492548399)",,"(2.6810102001696343, 1.660988492548399)",,bike,0.3348,0.2518,12,0.4377
12,agent_3,0.4304,"(1.6860832855463777, 1.6689819731447764)",,"(1.6860832855463777, 1.6689819731447764)",,bike,0.2895,0.2773,12,0.3636
12,agent_4,0.4119,"(2.1813789670760917, 0.43806749875211437)",,"(2.1813789670760917, 0.43806749875211437)",,walk,0.3109,0.2702,12,0.4223
12,agent_5,0.4445,"(1.5772948686793165, 2.2416085415347187)",,"(1.5772948686793165, 2.2416085415347187)",,bike,0.3386,0.233,12,0.4136
12,agent_6,0.4311,"(0.7108753221575054, 3.9503592217940082)",,"(0.7108753221575054, 3.9503592217940082)",,bike,0.3232,0.2636,12,0.4236
12,agent_7,0.4391,"(2.8670404284046356, 1.3266085263078164)",,"(2.8670404284046356, 1.3266085263078164)",,walk,0.3124,0.2634,12,0.3917
12,agent_8,0.4245,"(1.7173107907798228, 4.007482956460165)",,"(1.7173107907798228, 4.007482956460165)",,bike,0.3317,0.2659,12,0.451
12,agent_9,0.4402,"(2.635374760807083, 4.046692623219024)",,"(2.635374760807083, 4.046692623219024)",,bike,0.3847,0.2311,12,0.5172
12,agent_10,0.443,"(3.846395449569619, 2.563760669320325)",,"(3.846395449569619, 2.563760669320325)",,walk,0.3695,0.2304,12,0.4802
